date,area_name,cases_7d,pred
2021-02-21,East Midlands,1223.142857142857,992.0119084331083
2021-02-22,East Midlands,1175.857142857143,719.1348962744081
2021-02-23,East Midlands,1155.2857142857142,692.1905803495115
2021-02-24,East Midlands,1109.142857142857,674.7004089993358
2021-02-25,East Midlands,1050.2857142857142,637.8742472222687
2021-02-26,East Midlands,985.5714285714286,621.9401531518341
2021-02-27,East Midlands,944.7142857142856,786.0386897822816
2021-02-28,East Midlands,887.0,820.7309368884794
2021-03-01,East Midlands,798.4285714285714,581.1041589320458
2021-03-02,East Midlands,727.5714285714286,557.9449182636143
2021-03-03,East Midlands,674.4285714285714,535.8004231222186
2021-03-04,East Midlands,642.1428571428571,512.5679254598289
2021-03-05,East Midlands,632.2857142857143,502.09025298764266
2021-03-06,East Midlands,619.8571428571429,630.5068183155885
2021-03-07,East Midlands,614.2857142857143,659.0553574584168
2021-03-08,East Midlands,600.7142857142857,494.7765976350564
2021-03-09,East Midlands,590.4285714285714,482.5073805768726
2021-03-10,East Midlands,583.4285714285714,466.64476223269
2021-03-11,East Midlands,578.7142857142857,452.22924297117834
2021-03-12,East Midlands,565.2857142857143,449.86474186789604
2021-03-13,East Midlands,558.0,529.6543737894585
2021-03-14,East Midlands,548.0,602.651073982335
2021-03-15,East Midlands,536.4285714285714,430.9914073976906
2021-03-16,East Midlands,534.0,414.75013044369723
2021-03-17,East Midlands,533.5714285714286,410.7386652181105
2021-03-18,East Midlands,536.0,393.88480733974995
2021-03-19,East Midlands,529.5714285714286,386.2992206822754
2021-03-20,East Midlands,532.4285714285714,462.1629346700131
2021-03-21,East Midlands,545.1428571428571,482.71363894031305
2021-03-22,East Midlands,537.2857142857143,370.9254917081005
2021-03-23,East Midlands,530.4285714285714,357.5635703582157
2021-03-24,East Midlands,534.5714285714286,353.9338892342967
2021-03-25,East Midlands,526.5714285714286,341.7910454841691
2021-03-26,East Midlands,516.5714285714286,332.837922857665
2021-03-27,East Midlands,510.8571428571428,393.17192494627744
2021-03-28,East Midlands,509.4285714285714,405.72027917599246
2021-03-29,East Midlands,485.1428571428572,304.8711154225206
