date,obs_sum,uncoupled,coupled
2020-12-29,39181.571428571435,48746.099683629654,50398.24778970152
2020-12-30,42867.142857142855,47249.448813371346,48840.36178009849
2020-12-31,45504.857142857145,39388.1199790487,40717.90517547696
2021-01-01,47766.42857142857,18867.001622851338,19528.579847432648
2021-01-02,50323.28571428572,66949.83907323318,69082.48253421097
2021-01-03,51378.85714285715,74891.96141457612,77302.59273109227
2021-01-04,55649.71428571429,53862.176360125355,55521.328139689474
2021-01-05,53594.71428571428,49520.95672075929,50981.14955453234
2021-01-06,51954.71428571428,47264.48080549772,48581.96267755922
2021-01-07,51982.571428571435,44598.06227962926,45804.38088765794
2021-01-08,54044.28571428572,43041.729685847575,44141.3206333036
2021-01-09,51330.28571428571,54937.58963634615,56423.039213479424
2021-01-10,48922.71428571428,54981.41231324767,56417.73030829464
2021-01-11,46440.57142857143,39533.2590037746,40455.29270239593
2021-01-12,44489.571428571435,36891.781154310076,37712.76011381223
2021-01-13,43007.42857142857,35123.24179941544,35849.38366131972
2021-01-14,41812.28571428572,32337.271727318534,32907.879934214034
2021-01-15,41014.42857142857,31494.113188367104,32045.007092323405
2021-01-16,39874.857142857145,39769.7690988908,40574.821582916855
2021-01-17,38910.142857142855,40976.157363755,41785.35555474242
2021-01-18,37275.28571428571,28935.83854966448,29374.90385917407
2021-01-19,36011.28571428571,27005.737248990514,27370.547320125675
2021-01-20,34651.57142857143,25881.27740274855,26194.242735661042
2021-01-21,33232.28571428571,24754.392079307938,25005.04907607753
2021-01-22,31797.0,24323.328999548758,24570.143601333544
2021-01-23,30671.14285714286,30786.023169982316,31161.05081994308
2021-01-24,29097.285714285714,29299.387752855855,29657.39009898156
2021-01-25,27118.999999999996,21183.67118402565,21321.855119706386
2021-01-26,25450.857142857145,20448.538227256355,20531.271452336692
2021-01-27,24207.000000000004,20074.806098776568,20115.06198993289
2021-01-28,23203.0,18936.048130779673,18935.998030334165
2021-01-29,22158.0,18578.652343109075,18563.077088752736
2021-01-30,21459.285714285714,23086.6141198079,23152.365048233965
2021-01-31,21210.428571428576,23504.277828124512,23567.52927759809
2021-02-01,20189.714285714286,16952.652620342535,16858.216644422144
2021-02-02,19193.428571428572,15778.59878135617,15645.545089365198
2021-02-03,18351.42857142857,15554.864001411432,15407.03442411801
2021-02-04,17528.285714285714,14772.08509621848,14609.742734680982
2021-02-05,16690.142857142855,14459.935134291067,14281.975874160062
2021-02-06,16044.285714285714,18341.32527772104,18181.165245376367
2021-02-07,15523.714285714286,17772.140369853503,17577.432403613966
2021-02-08,14620.0,12559.063172833465,12341.299687008646
2021-02-09,13840.42857142857,12079.938539573488,11837.43214491985
2021-02-10,13033.57142857143,11904.78453115018,11643.70998552613
2021-02-11,12316.142857142859,11419.271935856774,11143.982831690933
2021-02-12,11828.285714285714,11114.584424235883,10834.014908692121
2021-02-13,11412.42857142857,14007.374640513777,13730.85609090376
2021-02-14,11032.0,13923.846514966122,13644.24700837372
2021-02-15,10829.571428571428,9368.29023348002,9087.243045370511
2021-02-16,10628.857142857143,8894.253191568283,8612.666895825438
