date,obs_cases_7d,vax observed,vax none,vax +20%,mobility observed,mobility baseline,mobility extra 20% cut
2021-07-13,32829.42857142857,4.766956887038612e-06,0.06989488992127262,5.138153107075438e-07,4.766956887038612e-06,0.05720554308613457,3.039337556835204e-08
2021-07-14,35121.71428571428,4.296562962044505e-06,0.06793160035137091,4.551446878976546e-07,4.296562962044505e-06,0.051245628266519995,2.7212064253943012e-08
2021-07-15,39072.28571428572,3.8246779386997545e-06,0.0652272302290683,3.980961257102866e-07,3.8246779386997545e-06,0.045889133228343884,2.406280830029365e-08
2021-07-16,42227.71428571428,3.4574372145303665e-06,0.06362196743069841,3.535781815746056e-07,3.4574372145303665e-06,0.041085350116617174,2.160886211044615e-08
2021-07-17,43637.71428571428,4.0759157229651215e-06,0.0819046492293251,4.084178572682937e-07,4.0759157229651215e-06,0.03676774684476585,2.5277074427913685e-08
2021-07-18,44458.57142857143,3.8520439816332155e-06,0.08563452234076291,3.774272901802069e-07,3.8520439816332155e-06,0.032926918832913724,2.3675795873048053e-08
2021-07-19,44876.28571428572,2.3703220395325516e-06,0.057460424239980185,2.27974697136349e-07,2.3703220395325516e-06,0.02951875316240958,1.4459998262889747e-08
2021-07-20,43833.42857142857,2.107004714060105e-06,0.05480683964864123,1.994775456015403e-07,2.107004714060105e-06,0.026455035789358233,1.277363594837862e-08
2021-07-21,41170.0,1.8838122784642456e-06,0.05258670547584712,1.7553397712702695e-07,1.8838122784642456e-06,0.023700536986687077,1.1350585238845355e-08
2021-07-22,36902.57142857143,1.6521397299585629e-06,0.049473907689749165,1.5151556805669836e-07,1.6521397299585629e-06,0.021227342622699694,9.894438755243022e-09
2021-07-23,33109.42857142857,1.4783642412181608e-06,0.047467578996498554,1.334623693218719e-07,1.4783642412181608e-06,0.01901152710863158,8.801087852293416e-09
2021-07-24,30965.85714285714,1.909221359070623e-06,0.06671336935418065,1.6912112697085845e-07,1.909221359070623e-06,0.017023690484804396,1.1281961785347221e-08
2021-07-25,29036.285714285717,1.8198696806467203e-06,0.07039068479417995,1.5771546496515084e-07,1.8198696806467203e-06,0.015251278192533618,1.0658806991215118e-08
2021-07-26,26627.714285714286,1.0150679588285846e-06,0.04272506122782584,8.640927825189489e-08,1.0150679588285846e-06,0.013669443986391886,5.902768185438397e-09
2021-07-27,25210.571428571428,9.11145854345293e-07,0.04094028665544912,7.643872768778178e-08,9.11145854345293e-07,0.012246895867717286,5.2682629655122825e-09
2021-07-28,24531.85714285714,8.15824145337924e-07,0.03915575808502311,6.744115548437585e-08,8.15824145337924e-07,0.010969539010642394,4.690569369032884e-09
