date,cases,cases_7d,sir,seir,seirs
2021-06-27,15407.0,14279.142857142857,25059.076918172395,45009.27310221832,47134.090524189756
2021-06-28,23511.0,15822.57142857143,24914.449783112595,45006.13738066727,47167.558410235346
2021-06-29,23250.0,17206.428571428572,24769.007743987866,44999.551543367445,47197.717647367084
2021-06-30,23941.0,18511.42857142857,24622.785330492432,44989.518435488346,47224.56309274891
2021-07-01,24267.0,19823.285714285717,24475.81687523861,44976.04196052338,47248.09057789503
2021-07-02,22287.0,20878.42857142857,24328.13650079969,44959.127077339865,47268.296910268524
2021-07-03,20638.0,21900.14285714286,24179.778107123435,44938.77979654116,47285.179874260924
2021-07-04,21806.0,22814.285714285717,24030.775359319305,44915.00717614574,47298.738231551724
2021-07-05,30215.0,23772.0,23881.161675822226,44887.81731658778,47308.971720848596
2021-07-06,31627.0,24968.714285714286,23730.970216934944,44857.21935504575,47315.881057008846
2021-07-07,34274.0,26444.85714285714,23580.23387375085,44823.22345910545,47319.46792954389
2021-07-08,29929.0,27253.714285714286,23428.985257458542,44785.84081976473,47319.73500050897
2021-07-09,29050.0,28219.85714285714,23277.256689028818,44745.08364378846,47316.68590178088
2021-07-10,25411.0,28901.714285714286,23125.080189284636,44700.96514542215,47310.32523172757
2021-07-11,27418.0,29703.42857142857,22972.48746935403,44653.49953747393,47300.658551273606
2021-07-12,40477.0,31169.42857142857,22819.50992150529,44602.702021775105,47287.69237936655
2021-07-13,43247.0,32829.42857142857,22666.178610363862,44548.58877902998,47271.4341878497
2021-07-14,50320.0,35121.71428571428,22512.524264509455,44491.1769580666,47251.89239574733
2021-07-15,57583.0,39072.28571428572,22358.57726845192,44430.48466450032,47229.07636296939
2021-07-16,51138.0,42227.71428571428,22204.367654983776,44366.53094882298,47202.99638344279
2021-07-17,35281.0,43637.71428571428,22049.925097907097,44299.33579393099,47173.663677677425
2021-07-18,33164.0,44458.57142857143,21895.27890513212,44228.92010210591,47141.0903847755
2021-07-19,43401.0,44876.28571428572,21740.458012144456,44155.30568146213,47105.289553893126
2021-07-20,35947.0,43833.42857142857,21585.49097583768,44078.51523187631,47066.27513516418
2021-07-21,31676.0,41170.0,21430.405968707644,43998.5723304138,47024.0619700962
2021-07-22,27711.0,36902.57142857143,21275.230773404634,43915.501416268184,46978.66578144949
2021-07-23,24586.0,33109.42857142857,21119.99277763916,43829.327775229656,46930.10316261042
2021-07-24,20276.0,30965.85714285714,20964.718969437017,43740.07752369922,46878.39156647058
2021-07-25,19657.0,29036.285714285717,20809.435932738863,43647.77759226535,46823.549293824086
2021-07-26,26541.0,26627.714285714286,20654.169843339525,43552.455708860805,46765.59548129584
2021-07-27,26027.0,25210.571428571428,20498.946465161764,43454.140381516845,46704.55008881322
2021-07-28,26925.0,24531.85714285714,20343.79114685934,43352.86088073313,46640.433886635255
2021-07-29,25361.0,24196.14285714286,20188.728818743784,43248.647221481224,46573.268441952634
2021-07-30,22109.0,23842.285714285717,20033.783990029195,43141.53014486034,46503.0761050731
2021-07-31,18450.0,23581.42857142857,19878.980746389218,43031.541099423914,46429.87999520643
2021-08-01,18714.0,23446.714285714286,19724.34274782025,42918.71222219577,46353.70398586391
2021-08-02,26580.0,23452.285714285717,19569.89322680463,42803.07631939497,46274.572689887646
2021-08-03,27062.0,23600.14285714286,19415.654986767713,42684.66684688845,46192.511444124604
2021-08-04,28895.0,23881.571428571428,19261.65040082225,42563.51789039047,46107.54629376155
2021-08-05,28126.0,24276.571428571428,19107.9014107938,42439.66414542857,46019.70397633633
2021-08-06,24851.0,24668.285714285717,18954.429526520405,42313.14089709489,45929.01190544162
2021-08-07,19957.0,24883.571428571428,18801.25582542005,42183.98399960248,45835.49815413759
2021-08-08,20157.0,25089.714285714286,18648.40095231905,42052.22985566593,45739.19143808938
2021-08-09,28292.0,25334.285714285717,18495.885119534698,41917.915395725526,45640.121098446405
2021-08-10,27610.0,25412.571428571428,18343.728107205246,41781.078057034116,45538.31708447954
2021-08-11,29135.0,25446.85714285714,18191.949263860417,41641.75576262613,45433.80993599336
2021-08-12,27690.0,25384.571428571428,18040.567507225547,41499.9869001874,45326.63076552975
2021-08-13,24992.0,25404.714285714286,17889.601325252403,41355.81030084496,45216.81124037983
2021-08-14,21336.0,25601.714285714286,17739.068777369866,41209.26521789549,45104.38356442099
2021-08-15,21280.0,25762.14285714286,17588.98749594735,41060.39130549095,44989.38045979559
2021-08-16,30861.0,26129.14285714286,17439.37468796428,40909.22859729971,44871.835148448314
2021-08-17,31095.0,26627.0,17290.247136878545,40755.81748516153,44751.78133353854
2021-08-18,31426.0,26954.285714285717,17141.621204687166,40600.19869775389,44629.253180744665
2021-08-19,29081.0,27153.0,16993.512834172227,40442.41327928759,44504.28529947639
2021-08-20,25555.0,27233.42857142857,16845.93755132534,40282.502568248965,44376.91272401182
2021-08-21,22605.0,27414.714285714286,16698.910467943868,40120.50817620544,44247.17089457533
2021-08-22,22409.0,27576.0,16552.446284392154,39956.471966691424,44115.095638372295
2021-08-23,30333.0,27500.571428571428,16406.559292521084,39790.43603419075,43980.723150596685
2021-08-24,28212.0,27088.714285714286,16261.263378739499,39622.442683231704,43844.08997542701
2021-08-25,27901.0,26585.14285714286,16116.57202723077,39452.53440761027,43705.232987026444
2021-08-26,26482.0,26213.85714285714,15972.498323308213,39280.75386975685,43564.189370561995
2021-08-27,24253.0,26027.85714285714,15829.054956902886,39107.143880261254,43420.99660325813
2021-08-28,20138.0,25675.42857142857,15686.254226177523,38931.74737757043,43275.69243549917
2021-08-29,19152.0,25210.14285714286,15544.108041260382,38754.607407873045,43128.31487199546
2021-08-30,24973.0,24444.42857142857,15402.627928092868,38575.76710518429,42978.90215302702
2021-08-31,33565.0,25209.14285714286,15261.825032384957,38395.26967164421,42827.492735778826
2021-09-01,31600.0,25737.571428571428,15121.710123672441,38213.15835804226,42674.125275781356
2021-09-02,30636.0,26331.0,14982.293599470253,38029.476444580105,42518.838608469356
2021-09-03,28730.0,26970.571428571428,14843.585489516066,37844.26722188481,42361.6717308721
2021-09-04,23409.0,27437.85714285714,14705.5954600986,37657.573972283266,42202.66378344745
2021-09-05,23457.0,28052.85714285714,14568.332818465155,37469.439951348984,42041.85403207197
2021-09-06,33135.0,29218.85714285714,14431.806517302932,37279.90836973156,41879.28185019908
2021-09-07,27938.0,28415.0,14296.025159288918,37089.022375278386,41714.9867011965
2021-09-08,25659.0,27566.285714285717,14160.9970017031,36896.8250354584,41549.00812087427
2021-09-09,24440.0,26681.14285714286,14026.729961100058,36703.35932009645,41381.38570021378
2021-09-10,21031.0,25581.285714285717,13893.231618033918,36508.66808442665,41212.15906830854
2021-09-11,16956.0,24659.42857142857,13760.509221831913,36312.794052472804,41041.36787552607
2021-09-12,17879.0,23862.571428571428,13628.56969541184,36115.77980076314,40869.051776900786
2021-09-13,25199.0,22728.85714285714,13497.41964013883,35917.66774238639,40695.25041576689
2021-09-14,22641.0,21972.14285714286,13367.065340717041,35718.500111395544,40520.003407639735
2021-09-15,22414.0,21508.571428571428,13237.512770111813,35518.318947565334,40343.35032435433
2021-09-16,22320.0,21205.714285714286,13108.767594498266,35317.16608150875,40165.33067846838
2021-09-17,22375.0,21397.714285714286,12980.835178232053,35115.0831201578,39985.98390793773
2021-09-18,20926.0,21964.85714285714,12853.720588838456,34912.111432612845,39805.34936107081
2021-09-19,24789.0,22952.0,12727.428602015894,34708.29213636475,39623.466281769135
2021-09-20,32121.0,23940.85714285714,12601.963706650115,34503.66608389324,39440.37379505963
2021-09-21,30547.0,25070.285714285717,12477.330109835544,34298.27384964475,39256.11089292485
2021-09-22,28789.0,25981.0,12353.531741900142,34092.1557173925,39070.71642043638
2021-09-23,28340.0,26841.0,12230.572261430589,33885.35166798092,38884.22906219625
2021-09-24,25754.0,27323.714285714286,12108.455060294371,33677.90136745632,38696.68732909117
2021-09-25,23389.0,27675.571428571428,11987.183268655723,33469.84415558531,38508.12954536349
2021-09-26,26814.0,27964.85714285714,11866.759759982375,33261.219034761845,38318.59383600289
2021-09-27,34595.0,28318.285714285717,11747.187156040161,33052.06465930346,38128.11811446185
2021-09-28,29628.0,28187.0,11628.467831872711,32842.41932513707,37936.74007069827
2021-09-29,28688.0,28172.571428571428,11510.603920763551,32632.32095987398,37744.4971595475
2021-09-30,26808.0,27953.714285714286,11393.597319177965,32421.80711327361,37551.426589426206
2021-10-01,24134.0,27722.285714285717,11277.449691682188,32210.914948095033,37357.5653113699
2021-10-02,21873.0,27505.714285714286,11162.16247583754,31999.681231334966,37162.950008405554
2021-10-03,27138.0,27552.0,11047.736887067225,31788.142325850735,36967.6170852605
2021-10-04,36475.0,27820.571428571428,10934.173923493641,31576.3341823661,36771.6026584085
2021-10-05,32269.0,28197.85714285714,10821.474370744083,31364.2923318578,36574.9425464532
2021-10-06,32547.0,28749.14285714286,10709.63880672296,31152.051878320166,36377.67226084944
2021-10-07,32158.0,29513.42857142857,10598.66760634853,30939.647491904925,36179.82699696182
2021-10-08,29848.0,30329.714285714286,10488.560946252474,30727.113402433108,35981.44162546047
2021-10-09,27180.0,31087.85714285714,10379.318809440565,30514.483393275463,35782.55068405284
2021-10-10,31499.0,31710.85714285714,10270.940989912822,30301.790795597924,35583.188369550495
2021-10-11,43115.0,32659.42857142857,10163.427097241718,30089.06848296789,35383.38853026973
2021-10-12,40892.0,33891.28571428572,10056.776561106863,29876.34886631734,35183.184658764
2021-10-13,40547.0,35034.142857142855,9950.988635785014,29663.66388925833,34982.60988488653
2021-10-14,39262.0,36049.0,9846.062404593973,29451.04502374611,34781.69696918066
2021-10-15,36631.0,37018.0,9741.99678428933,29238.52326608521,34580.47829659564
2021-10-16,31639.0,37655.0,9638.790529412847,29026.129133273313,34378.98587052518
2021-10-17,37501.0,38512.42857142857,9536.442236591527,28813.89265967779,34177.25130716569
2021-10-18,49257.0,39389.857142857145,9434.950348786384,28601.84339403945,33975.30583019123
2021-10-19,44630.0,39923.857142857145,9334.313159490033,28390.010396798058,33773.18026574179
2021-10-20,43963.0,40411.857142857145,9234.528816872324,28178.422237733797,33570.905037721284
2021-10-21,38581.0,40314.57142857143,9135.595327873198,27967.106993918973,33368.51016340162
2021-10-22,34506.0,40011.0,9037.51056224219,27756.092247973957,33166.025249328806
2021-10-23,29747.0,39740.71428571428,8940.272256523895,27545.405086621256,32963.4794875271
2021-10-24,30091.0,38682.142857142855,8843.878017988849,27335.072099531608,32760.901651996923
2021-10-25,39958.0,37353.71428571428,8748.325328509389,27125.119378455835,32558.32009550208
2021-10-26,35276.0,36017.42857142857,8653.611548379973,26915.57251663597,32355.762746641867
2021-10-27,36524.0,34954.71428571428,8559.733920081662,26706.456608489447,32153.257107203175
2021-10-28,35076.0,34454.0,8466.689571990386,26497.79624955962,31950.830249787974
2021-10-29,33995.0,34381.0,8374.475522028753,26289.61553672625,31748.508815711186
2021-10-30,28243.0,34166.142857142855,8283.088681261148,26081.938068669253,31546.31901316386
2021-10-31,29564.0,34090.857142857145,8192.525857431998,25874.786946579083,31344.28661563659
2021-11-01,37663.0,33763.0,8102.78375844701,25668.184775107096,31142.43696059796
2021-11-02,31328.0,33199.0,8013.858995797366,25462.15366354923,30940.794948422652
2021-11-03,29396.0,32180.714285714286,7925.748087926792,25256.71522725623,30739.385041563895
2021-11-04,27379.0,31081.14285714286,7838.447463541519,25051.890589263723,30538.231263964815
2021-11-05,24405.0,29711.14285714286,7751.953464863184,24847.700382135492,30337.357200703154
2021-11-06,22581.0,28902.285714285717,7666.262350824735,24644.164750013155,30136.785997863866
2021-11-07,25447.0,28314.14285714286,7581.370300209483,24441.303350865615,29936.540362633965
2021-11-08,36138.0,28096.285714285717,7497.273414733422,24239.135358931635,29736.642563614034
2021-11-09,34679.0,28575.0,7413.967722071032,24037.67946734878,29537.114431340648
2021-11-10,35390.0,29431.285714285717,7331.449178824759,23836.95389096233,29337.977359014283
2021-11-11,33700.0,30334.285714285717,7249.71367343844,23636.976369307373,29139.25230342672
