date,cases_7d,deaths,stringency,workplace_m,inc_filter,deaths_filter,inc_openloop,S,I,R,D,V,beta,Reff
2021-11-19,35232.857142857145,105.0,43.6,0.7435044933948443,27667.708618817225,317.1090721390846,9139.49169092605,7503365.818804548,157108.64578485925,7274230.781019916,137831.3746608504,41542683.0,1.3272436512949966,1.2327390345973264
2021-11-20,35591.42857142857,100.0,43.59,0.914561686202037,28136.832844755125,319.6494602279669,8752.567254132206,7464998.664754884,158367.25667769814,7291459.5401676,138074.79710630677,41564748.0,1.3459029701241243,1.2436777276133895
2021-11-21,35900.28571428572,90.0,43.59,0.9402178537836432,28542.982638879468,321.63195046898545,8390.13008162129,7436075.51309566,159349.4624372089,7308563.133097741,138316.45109777426,41577075.0,1.362192950220393,1.2538534828812944
2021-11-22,35956.28571428572,94.0,43.59,0.7310933778696936,28907.811111150102,323.8325397351095,8033.116082762479,7400295.980804802,160439.72326512303,7325838.085483206,138560.526200202,41595428.0,1.3768539762399628,1.2612504787462409
2021-11-23,36293.28571428572,121.0,43.59,0.7412661044283851,29491.957751161306,327.99988387198,7686.477678747443,7361454.958790686,162504.39391439426,7343821.938426698,138814.61724783084,41615311.0,1.39414679511101,1.2703884448003404
2021-11-24,36525.28571428572,98.0,43.59,0.7441770734139155,29824.931588338175,330.471510304568,7351.946669350187,7323119.594107969,163728.93750468187,7361447.414262804,139063.64484129773,41634972.0,1.40666782878186,1.2751229214591182
2021-11-25,36531.57142857143,110.0,43.59,0.74270351708071,30181.550123934765,333.4850499641903,7028.449518551234,7283234.993270551,165221.96680134785,7379458.777213145,139318.12457357196,41655224.0,1.4183489779898666,1.2787092113578444
2021-11-26,36600.42857142857,107.0,43.59,0.7266521558363663,30452.612075246216,336.01848944266226,6718.2672048429,7244873.151311925,166477.13507186034,7397538.595721551,139573.57150373491,41673603.0,1.4278179581788506,1.2804658395563386
2021-11-27,36399.142857142855,88.0,43.58,0.8896008593420874,30451.500734899444,336.7704792749903,6417.298249826578,7204736.861602565,166849.70121575551,7415305.5584428925,139824.59814339204,41694061.0,1.4325137947881807,1.2775600051489189
2021-11-28,36698.57142857143,93.0,43.58,0.9414252867016024,30565.188654848534,338.0001724526298,6132.991257144306,7170407.559266793,167458.94089649568,7433237.78153097,140077.95972103078,41708369.0,1.4394897219883325,1.2776643602217908
2021-11-29,37422.857142857145,107.0,43.58,0.7155494158213456,30910.23594109801,340.78558376835787,5856.7490839054635,7132410.707919228,168838.94619503827,7451546.852033244,140336.64571690877,41725750.0,1.4515333315213228,1.2815269016056248
2021-11-30,38368.142857142855,88.0,43.58,0.7406622281227544,31227.17099589725,343.03543356923143,5588.1299245812015,7091799.965269091,169953.6126820303,7469527.2555824695,140590.68802875685,41746447.0,1.4651410366650264,1.2861756424104132
2021-12-01,39422.71428571428,104.0,43.58,0.7402725802462644,31846.016160495667,347.25231613334665,5330.57920804732,7051744.772323306,172042.8266695486,7487952.4458666425,140851.01466284602,41766005.0,1.4844159957421952,1.2957361689461635
2021-12-02,40265.857142857145,85.0,43.57,0.7414510689115952,32380.905660888955,350.72919078218683,5083.305242804864,7012861.907896065,173765.41083895834,7506092.594165126,141107.31398330085,41785087.0,1.5026714729751318,1.304438774850835
2021-12-03,41059.57142857143,114.0,43.57,0.7387745672131637,33224.528338917284,356.6742726105164,4845.9106286365595,6973082.143450364,176710.84456253017,7525020.020290678,141374.7366291241,41803863.0,1.524770600498529,1.3161144634228956
2021-12-04,41762.42857142857,119.0,43.57,0.9178645947944194,34075.233736360926,363.15576813968664,4614.355913529493,6927985.319754186,179922.03930501905,7544282.932270618,141646.89930218467,41827590.0,1.5458992587450988,1.325722168756414
2021-12-05,41931.0,92.0,43.57,0.947815006630796,34588.16595103247,367.28664046114824,4398.1449832580765,6892484.479586246,181968.64034344768,7563222.27189955,141914.49027208405,41842176.0,1.559512485842818,1.3305433353805105
2021-12-06,42385.857142857145,111.0,43.57,0.7240889446810499,35238.23980115027,372.6952274634859,4190.69512820816,6855552.036053181,184648.27285542502,7582789.616222676,142190.95422228094,41856998.0,1.5742010377840139,1.3358786128543243
2021-12-07,42459.28571428572,95.0,43.56,0.740699488945103,35610.68923343514,376.4870921582661,3991.1529867641466,6817486.225787174,186526.9158194303,7602258.567789738,142466.02799664275,41872959.0,1.583610125648437,1.3364013635188163
2021-12-08,42858.71428571428,98.0,43.56,0.7525716521944592,35995.61223473941,380.4070928965608,3799.762676673953,6778660.2119527,188469.0425561861,7621982.577132328,142744.70544244908,41889212.0,1.5933065611025474,1.3369266497337846
2021-12-09,43683.28571428572,103.0,43.56,0.7596132900562724,36497.30262257645,385.0516467282121,3614.8505522800424,6736749.3636562405,190770.14216788553,7641987.883560597,143027.35729080823,41908218.0,1.6059560073707286,1.339209141717793
2021-12-10,44511.28571428572,96.0,43.56,0.755646070303965,37008.491672121105,389.5508247237445,3437.8731906047396,6695287.708143203,192999.21671707754,7662028.099078984,143310.50236426527,41926917.0,1.6196093069384663,1.3422823476253258
2021-12-11,45734.28571428572,78.0,43.55,0.9445590457300984,37520.95968586284,393.64607641143346,3266.6966990051924,6651284.514119702,195028.16985443456,7681823.072348939,143590.1824482092,41948921.0,1.6357040768767757,1.3467116980950737
2021-12-12,47352.857142857145,106.0,43.55,0.9795484194168405,38542.93785626775,400.88652529413184,3104.497450482395,6609867.483380085,198615.38075055272,7702373.668860903,143880.5386148588,41967459.0,1.6602475727616866,1.3584072088189656
2021-12-13,50979.142857142855,92.0,43.55,0.7225955865122532,40122.69493193229,410.4054301761658,2949.4575039965634,6570219.023203792,203331.4308000931,7722731.677104547,144168.173731965,41985739.0,1.698397730176067,1.3812860285218507
2021-12-14,57060.71428571428,110.0,43.55,0.7264557831706955,43082.37461699473,427.03478397556995,2799.6392428177364,6529418.950061272,211570.28451083082,7743443.647865006,144460.80993018224,42007514.0,1.7636162688892378,1.4254205074981825
2021-12-15,64145.71428571428,95.0,40.76,0.7288459024730954,47280.84560402009,449.3747841236375,2655.4408478381706,6493100.241211089,222638.42313714247,7763678.033355478,144746.69840077028,42031463.0,1.849552567546745,1.4865624475981394
2021-12-16,70572.42857142857,91.0,40.76,0.723978375263463,52505.593149117165,477.1826983318393,2515.873717460536,6459895.0833565425,236415.58729672202,7783741.117025719,145030.16657472492,42059575.0,1.9441853512927532,1.5546316393365673
