date,area_code,area_name,population,cases,cases_7d,deaths,admissions,hospital_occupancy,vax_first_dose,vax_second_dose,vax_third_dose,vax_first_cum,vax_second_cum,workplace_pct_england,workplace_m,transit_pct_england,transit_m,retail_pct_england,residential_pct_england,workplace_pct_gb,stringency,c4_gatherings,c6_stay_home,c7_movement,h7_vaccine_policy
2021-06-17,E92000001,England,56550138,9523.0,7862.142857142857,5.0,202.0,1122.0,216375.0,173339.0,216.0,34531452.0,25203343.0,-27.668674567797375,0.7233132543220262,-29.257004545162438,0.7074299545483755,-11.219607877502614,8.36677481063446,-29.0,51.39,4.0,0.0,0.0,4.0
2021-06-18,E92000001,England,56550138,8772.0,8185.285714285715,10.0,185.0,1170.0,199390.0,164895.0,142.0,34730842.0,25368238.0,-26.908434661504838,0.7309156533849517,-25.652416735311473,0.7434758326468853,-17.980052403736615,7.449758574758574,-29.0,51.39,4.0,0.0,0.0,4.0
2021-06-19,E92000001,England,56550138,7127.0,8428.857142857143,19.0,178.0,1143.0,263827.0,200645.0,117.0,34994669.0,25568883.0,-6.791538351187474,0.9320846164881252,-22.07404642141484,0.7792595357858516,-17.714307768255136,2.286956464588043,-6.0,51.39,4.0,0.0,0.0,4.0
2021-06-20,E92000001,England,56550138,8203.0,8732.857142857143,22.0,171.0,1168.0,142201.0,80006.0,42.0,35136870.0,25648889.0,-2.2025245222613643,0.9779747547773864,-20.489268334005175,0.7951073166599483,-12.44475918818024,1.1086533349691243,-2.0,51.39,4.0,0.0,0.0,4.0
2021-06-21,E92000001,England,56550138,12707.0,9270.857142857143,13.0,181.0,1290.0,125233.0,94632.0,98.0,35262103.0,25743521.0,-28.880193377123206,0.711198066228768,-29.103021101705313,0.7089697889829469,-13.442103218419009,8.577853287063814,-31.0,51.39,4.0,0.0,0.0,4.0
2021-06-22,E92000001,England,56550138,13563.0,9900.857142857143,9.0,182.0,1301.0,162136.0,121716.0,145.0,35424239.0,25865237.0,-27.623545135825836,0.7237645486417417,-28.82579686395476,0.7117420313604523,-9.912792762792762,8.123423344037379,-30.0,51.39,4.0,0.0,0.0,4.0
2021-06-23,E92000001,England,56550138,14806.0,10671.57142857143,6.0,214.0,1255.0,177807.0,120461.0,121.0,35602046.0,25985698.0,-27.44543119323821,0.7255456880676179,-28.46856097119255,0.7153143902880745,-10.005179469653154,7.9376845701407115,-29.0,51.39,4.0,0.0,0.0,4.0
2021-06-24,E92000001,England,56550138,15084.0,11466.0,20.0,194.0,1274.0,198031.0,134852.0,157.0,35800077.0,26120550.0,-27.68463747104098,0.7231536252895903,-28.219018846650428,0.7178098115334957,-9.391086398981136,8.15357300269581,-30.0,51.39,4.0,0.0,0.0,5.0
2021-06-25,E92000001,England,56550138,14901.0,12341.57142857143,21.0,206.0,1284.0,179172.0,132430.0,155.0,35979249.0,26252980.0,-27.29110085820612,0.7270889914179388,-23.55732571522045,0.7644267428477955,-12.223332077279444,7.167885623148781,-29.0,51.39,4.0,0.0,0.0,5.0
2021-06-26,E92000001,England,56550138,13486.0,13250.0,9.0,223.0,1276.0,217340.0,179064.0,150.0,36196589.0,26432044.0,-6.156589885098657,0.9384341011490134,-18.74568370226265,0.8125431629773735,-16.26999900684111,1.5497543392280233,-6.0,51.39,4.0,0.0,0.0,5.0
